id,betweenness,closeness,degree,eigenvector,page,clustering,katz
0,0.0,,0.0,0.0,3.637209133934204e-15,0.0,2.186322519375909e-08
1,0.0,,6.300847154272652e-08,1.1404095023150942e-08,2.6407034369223776e-13,0.0001855707077252226,8.97680500015227e-09
2,0.0,,2.9265540941732027e-12,1.5901683244677785e-07,2.023526113269767e-12,0.0,2.870467607589267e-08
3,0.0,,6.370405197597397e-08,1.516152553714474e-06,1.7069317353003449e-13,0.00021924666956199345,5.8599157945532056e-09
4,0.0,,3.6642535286422304e-11,1.3339589140873775e-06,1.8504469714522945e-11,0.0,5.005656736175426e-08
5,2.5115468365811003e-06,,6.387022916370395e-08,4.705367146666105e-07,5.133175932523454e-13,0.0001697355665992612,5.345831198060706e-09
6,1.0046187346324401e-05,,6.03612864754258e-08,1.1099629075065069e-07,1.7125493982254297e-11,4.972168532879454e-05,2.5491136859602536e-08
7,2.5115468365811003e-06,,1.8858091175436852e-11,1.8882020142600043e-10,9.90976415374127e-12,0.0,4.098097716894764e-08
8,0.0,,6.393676064792459e-08,1.3548255788254367e-06,1.3248387980506317e-15,0.00028993293062557044,5.031335214030632e-09
9,2.5115468365811003e-06,,6.08796848385346e-08,3.2115600594680815e-07,1.5334345855719288e-11,5.235730317962172e-05,2.1917211257486295e-08
10,0.0,,1.4026679387342275e-12,5.7732351071350654e-08,7.801188391106131e-13,0.0,2.6484973960339304e-08
11,0.0,,2.910968894935612e-11,1.4229741444802094e-06,7.602343114232788e-12,0.0,4.655099373500778e-08
12,2.5115468365811003e-06,,6.169411973351046e-08,9.244943394950628e-08,8.591221834999823e-12,7.199145994515864e-05,1.630062998916915e-08
13,0.0,,1.170621637669281e-11,2.4020883201891515e-07,5.020944260608848e-12,0.0,3.624420637858492e-08
14,0.0,,1.3576440295425147e-11,5.108332408099245e-07,4.864830508575227e-12,0.0,3.7723247110060466e-08
15,2.5115468365811003e-06,,6.490535913942945e-08,3.278387800288176e-06,6.62580395060686e-13,0.0004989050413551815,2.239695774716144e-09
16,0.0,,6.049067826353263e-08,6.071248394719315e-07,1.1234019099287946e-11,5.19664757352302e-05,2.496124918474085e-08
17,0.0,,7.316385234572397e-13,2.7237081404299923e-08,5.93278182926266e-13,0.0,2.5140778239245338e-08
18,0.0,,5.926704963440356e-12,1.4553304747047314e-07,2.30130760877322e-12,0.0,3.1714959727297634e-08
19,0.0,,6.205418545921206e-08,1.409270293397787e-07,2.3573527993401084e-12,0.00011376708718636369,1.3933120182451597e-08
20,0.0,,6.300847154272652e-08,4.2816985620508887e-07,1.1756355951968604e-14,0.00010897206161577925,8.948172873081934e-09
21,0.0,,6.383697640926019e-08,1.0883661793116563e-06,7.05303125337396e-13,0.00041259049680535315,5.407764852456989e-09
22,2.5115468365811003e-06,,6.264564377336787e-08,1.0762049952021506e-08,9.1099269260914e-12,0.00014141430635743071,1.0814156824755207e-08
23,0.0,,6.353809124934474e-08,1.7029803937976403e-06,1.3672981215134974e-13,5.102855285865271e-05,6.530163704581011e-09
24,0.0,,2.7057637704347423e-12,1.074787298593169e-11,1.1953721516368947e-12,0.0,2.8482769054469255e-08
25,0.0,,6.41698935835844e-08,9.795521612378527e-07,9.239602109488927e-13,0.0004069484282166085,4.311812585214032e-09
26,0.0,,3.896299827846969e-14,1.0829729934738136e-08,2.3163832952475097e-14,0.0,2.2642339706662307e-08
27,0.0,,5.62625695396558e-11,3.7992113892951585e-06,2.1464290185799698e-11,0.0,5.8422608861473007e-08
28,0.0,,3.1560028623338356e-12,5.62642644640334e-10,2.6477413422151086e-12,0.0,2.8968293833499924e-08
29,0.0,,1.6641529494014726e-11,4.887651241623093e-07,6.44149518242482e-12,0.0,3.9566155732532395e-08
30,0.0,,6.32399074233488e-08,9.724541566013853e-08,4.8928832719405194e-14,0.00015578042851489672,7.848237392935412e-09
31,0.0,,6.487183797321957e-08,2.1226473466899247e-06,3.6323725220900303e-12,0.0017403532869548336,2.3134537477103066e-09
32,0.0,,6.534192221847294e-08,2.682813566956546e-06,2.3604191582286922e-12,3.0189590629152074e-05,1.3465159689644748e-09
33,0.0,,6.248106839778913e-08,3.3745751729458276e-07,3.2876371436678665e-12,0.00012538828815885112,1.1477208271848841e-08
34,0.0,,3.6408757298004535e-12,1.6981709400394846e-07,1.3277929031268615e-12,0.0,2.9582007512587218e-08
35,0.0,,6.39034905765918e-08,1.5066580323900027e-06,7.946586029684604e-13,0.00021429651200849495,5.1559816816582815e-09
36,2.5115468365811003e-06,,6.271153453272833e-08,2.864839172061228e-09,2.935546669330135e-13,8.541968644541084e-05,1.0441318260990119e-08
37,0.0,,6.234079727712244e-13,2.1342328817576256e-09,3.899931179570326e-13,0.0,2.4839110380669134e-08
38,0.00012306579499247834,,1.4263747585339115e-09,1.29553151317816e-06,1.0694199213797597e-09,0.0,3.825626011721282e-07
39,0.0,,1.595924410243492e-10,6.368503570401788e-06,6.135428674367721e-11,0.0,9.306165307549173e-08
40,0.0,,1.170621637669281e-11,2.0268287284387677e-07,5.8082633634806526e-12,0.0,3.624142314411349e-08
41,0.0,,2.7707021005038653e-13,2.0917821633762106e-09,2.340697147549026e-13,0.0,2.387365740235748e-08
42,0.0,,6.373727009664147e-08,3.68906922684077e-08,1.9622707255551955e-13,0.00027338841657327024,5.9344096366104335e-09
43,0.0,,3.896299829428083e-12,1.2061656002731915e-08,4.563117807794127e-12,0.0,2.988054403154139e-08
44,0.0,,1.558519931929773e-13,6.191135602948821e-10,5.65253614400121e-13,0.0,2.3306978971896775e-08
45,2.5115468365811003e-06,,6.13351016795391e-08,1.7884155128489786e-07,1.330387433249926e-11,5.646982431926219e-05,1.830689226781205e-08
46,1.0046187346324401e-05,,6.453710252564115e-08,1.6399487482109978e-06,1.1884963943354183e-12,0.0003657421989881877,3.1957802992880547e-09
47,0.0,,1.773249344746159e-11,9.011577672348703e-07,8.331075450639175e-12,0.0,4.030899573396507e-08
48,0.0,,6.353809124934474e-08,1.3798920302980116e-06,3.7059590505313606e-13,0.00042513619093215274,6.4365639752596664e-09
49,0.0,,6.473783989286974e-08,2.748237616939169e-06,1.9633252111809354e-13,0.0007082466181061364,2.6014784813186333e-09
50,0.0,,1.2511451675375833e-12,2.289619164664827e-11,8.285977719803629e-13,0.0,2.6245971045614815e-08
51,0.0,,2.290158455477525e-12,9.663581953294144e-08,7.341948721234092e-13,0.0,2.7781768388869913e-08
52,2.5115468365811003e-06,,6.39034905765918e-08,3.5416898856237584e-06,1.75515445085429e-15,4.0119769586979165e-05,5.261703507739693e-09
53,0.0,,6.467089280338414e-08,1.5596667374827842e-06,2.763242479542023e-12,0.001036644857667585,2.8039690184246093e-09
54,2.5115468365811003e-06,,3.98981102560873e-11,1.7477960839473715e-06,1.737276314165141e-11,0.0,5.129157102991455e-08
55,0.0,,3.896299829428083e-12,9.776301354472885e-08,2.845386910510237e-12,0.0,2.9771645811470096e-08
56,0.0,,5.23835865985194e-13,2.3437830147478174e-08,2.3538014387636177e-13,0.0,2.4656296143541404e-08
57,0.0,,4.714522793866746e-12,1.137587845208583e-08,5.070536456785863e-12,0.0,3.0544499412643756e-08
58,2.5115468365811003e-06,,5.682592687431789e-08,6.641436124941014e-06,4.6840775956622563e-11,1.2114360140200274e-05,6.431877963337153e-08
59,0.0,,4.433123362069935e-12,1.1390393875491991e-08,2.415251911266727e-12,0.0,3.0566167365500475e-08
60,0.0,,1.9091869164722535e-12,3.201510230835634e-08,5.622970949011695e-13,0.0,2.7225730922632155e-08
61,0.0,,6.41032408811969e-08,1.3606216282019414e-06,1.0907381907348174e-12,0.000388242948239723,4.4968805046113405e-09
62,0.0,,3.3525495423052416e-11,1.7687426514030627e-06,1.309920678187867e-11,0.0,4.846635917386631e-08
63,0.0,,4.329222032960391e-11,1.55073848475461e-06,1.261446234571086e-11,0.0,5.318772623281299e-08
64,0.0,,6.397003937765056e-08,3.634877781373192e-07,3.9016414113539986e-13,0.00021164417830737034,5.0856442601753406e-09
65,0.0,,4.3292220353259275e-15,4.05439246359825e-15,3.089609581895203e-14,0.0,2.210462148098798e-08
66,0.0,,1.1082808404115623e-12,1.7467298473051058e-07,3.967555970130555e-13,0.0,2.5986389597188665e-08
67,2.5115468365811003e-06,,6.185765609579957e-08,5.7156265223186735e-09,2.431434436640465e-12,7.988386899364353e-05,1.5085532865166652e-08
68,0.0,,6.443685073104642e-08,1.3470688389337253e-06,1.81664021703607e-12,0.00033006186246015715,3.459396132760632e-09
69,2.5115468365811003e-06,,6.202140891919032e-08,8.954083602222772e-07,1.865669598219122e-12,9.545290433384344e-05,1.4015764387943441e-08
70,0.0,,6.198864103766447e-08,1.1297672131034349e-07,1.086949736304149e-12,3.272010201007844e-05,1.4553416481798948e-08
71,0.0,,1.6641529494014726e-11,1.7376426837820795e-06,5.014299556162715e-12,0.0,3.9903821714711654e-08
72,0.0,,6.426993757557084e-08,1.3681195853205739e-06,1.0102336779224787e-12,7.409451872990876e-05,3.9664175144419635e-09
73,0.0,,1.1082808404115623e-12,5.4911099233023114e-08,4.0068698635441797e-13,0.0,2.5979468902293603e-08
74,0.0,,1.0823055081744676e-13,2.1491233200815493e-10,1.5990761706507089e-12,0.0,2.307009077710485e-08
75,0.0,,6.234079727712244e-13,1.0877911457803947e-09,9.204117531770952e-13,0.0,2.485106302905268e-08
76,0.0,,4.5041226030072355e-11,3.3938207270389202e-06,1.5715588965893962e-11,0.0,5.391794244516693e-08
77,0.0,,4.3292220353259275e-15,8.493202496873773e-11,8.799376900418246e-15,0.0,2.2116458761937527e-08
78,2.5115468365811003e-06,,6.584746712143438e-12,3.5774427152826306e-07,3.2122212254731482e-12,0.0,3.2419459101128466e-08
79,0.0,,1.309589664962985e-11,1.8153206110518015e-06,3.5402610432317076e-12,0.0,3.7649118375643534e-08
80,0.0,,6.267858482377481e-08,8.539479732663731e-08,1.0424551235889488e-13,0.00012824746366792877,1.0714570195758745e-08
81,0.0,,2.9265540941732027e-12,7.017166674299981e-08,1.4483195001468615e-12,0.0,2.8568580598626494e-08
82,0.0,,5.830985863979885e-08,6.740177301094998e-06,3.6641706573909527e-11,2.4725180142479507e-05,4.610170280392856e-08
83,0.0,,1.7316888141332245e-14,1.0589223850914891e-10,2.5169294016443546e-14,0.0,2.2342937043942283e-08
84,0.0,,1.4026679387342275e-12,1.168641175604344e-09,6.433249698523307e-13,0.0,2.6363799631689603e-08
85,0.0,,6.450367660236625e-08,5.84398602960634e-07,1.222172920240394e-12,0.00021391876426113553,3.4096964707988076e-09
86,0.0,,2.7057637704347423e-12,5.529545576148718e-08,1.6305741250310138e-12,0.0,2.8375090985663303e-08
87,0.0,,6.387022916370395e-08,1.473900522008394e-06,3.2453811582774555e-13,0.0003582172062701267,5.276504025722078e-09
88,0.0,,1.773249344746159e-11,4.966375154455161e-07,6.354629151491576e-12,0.0,4.0160393836799856e-08
89,0.0,,6.403662281258651e-08,2.340869886706001e-06,3.396201966540094e-13,0.0004446902627614389,4.610525455805024e-09
90,0.0,,6.380373231325961e-08,4.489154665055454e-07,2.5384670991944877e-13,0.00016382803061020104,5.603795194454499e-09
91,0.0,,8.852826135335849e-11,2.792354311463038e-06,2.6271834740109706e-11,0.0,7.038520300804509e-08
92,0.0,,2.182360826792318e-11,1.625024297010087e-08,1.0573400183565594e-11,0.0,4.2919917243318095e-08
93,1.00461873463244e-05,,6.091215833301223e-08,2.409011748880291e-07,1.1058461075024988e-11,1.3382844884695578e-05,2.1782347233476626e-08
94,0.0,,4.3292220326978705e-13,7.153355285929866e-09,1.6894566457564286e-13,0.0,2.4370898215752025e-08
95,0.0,,4.3292220353259275e-15,1.369618209197889e-10,1.0198360726446613e-14,0.0,2.2102790988978247e-08
96,0.0,,1.2160784690251813e-11,1.4723464519419365e-06,3.5370907422894273e-12,0.0,3.689862759002766e-08
97,0.0,,6.304150783607033e-08,2.9456256113754575e-07,1.3805455691261396e-13,0.00016335459318120033,8.719149766398478e-09
98,0.0,,4.3292220353259275e-15,1.2490405863946917e-110,1.616537392666753e-13,0.0,2.2104503003199805e-08
99,0.0,,4.592871654836806e-11,6.46759409334031e-07,1.6745213272405048e-11,0.0,5.384116316855467e-08
100,0.0,,1.4563502919201814e-11,6.937112971573815e-07,4.101445368121507e-12,0.0,3.840634957268985e-08
101,0.0,,6.120480941320142e-08,2.797451612411886e-07,6.778413257311108e-12,7.792416918073913e-05,1.921666078455017e-08
102,1.0046187346324401e-05,,5.971640556141279e-08,4.6765153619156947e-07,2.2674943407396596e-11,4.4417051347727474e-05,3.125452309923065e-08
103,0.0,,1.0823055081744676e-13,3.3225473934022987e-10,9.74303747287288e-14,0.0,2.3060637571894253e-08
104,0.0,,4.1603823735036814e-12,2.9458260894959062e-08,1.4862682694649602e-12,0.0,2.9910946431991645e-08
105,0.0,,8.766674616806427e-12,1.0361324843951068e-07,3.0026162402889754e-12,0.0,3.4458122335319065e-08
106,2.5115468365811003e-06,,6.44702593374332e-08,3.2424281221180834e-06,8.869603753583878e-13,5.60982805815536e-05,3.387374967086176e-09
107,0.0,,6.08796848385346e-08,1.1331294833057665e-06,1.3243580222914297e-11,5.866145575427212e-05,2.2104095425242275e-08
108,0.0,,6.403662281258651e-08,3.2051933762122846e-06,2.071194544410044e-14,6.0802625053639806e-05,4.788325587958051e-09
109,0.0,,6.457053710741123e-08,7.778206084099775e-07,2.299762624177994e-12,0.0006736374175241648,3.1240943494336735e-09
110,0.0,,2.7707021005038653e-13,1.2367378072047904e-09,1.4476524946833706e-12,0.0,2.3831206296127476e-08
111,0.0,,6.130611320783392e-11,5.320435055394049e-06,2.6002375568208036e-11,0.0,6.106418305611495e-08
112,0.0,,5.610671754945128e-12,1.3451640033344834e-07,1.620437853463307e-12,0.0,3.138925173667333e-08
113,2.5115468365811003e-06,,6.261271138135462e-08,2.419659214210052e-07,1.0352948355129305e-12,8.980374450278183e-05,1.095697473320567e-08
114,2.5115468365811003e-06,,7.657960854089669e-11,3.392961234756271e-06,3.7801116433911387e-11,0.0,6.601439491202967e-08
115,0.0,,5.23835865985194e-13,3.9828757996813007e-08,2.7164900423637924e-13,0.0,2.4672450697849166e-08
116,0.0,,6.383697640926019e-08,1.65405670907706e-07,2.0281173795373564e-13,0.0003208751461867067,5.540629261649788e-09
